timestamp,gaze2d_x,gaze2d_y,pupildiameter,Corrected_Gaze_X,Corrected_Gaze_Y,Velocity_Y,Amplitude_X
0.026124,0.5048,0.4079,3.646000000000001,755.6080607794779,37.8162459726766,6910.828809685489,40.43497157435604
0.046217,0.504,0.4448,3.1910000000000007,765.2252751522065,176.67552924568713,6910.828809685489,40.43497157435604
0.066197,0.5004,0.4267,3.0380000000000007,733.0418428000239,111.85602150663658,3244.219606559086,40.43497157435604
0.08629,0.5002,0.4383,3.005000000000001,736.4193727328475,155.46579166434367,2170.3961657147806,40.43497157435604
0.10627,0.5017,0.4438,3.0350000000000006,748.9925030437589,174.82738449187286,969.0486900665263,40.43497157435604
0.126363,0.5016,0.4499,2.995000000000001,750.8042018635988,197.7558421188685,1141.1166887471072,40.43497157435604
0.146342,0.5045,0.4396,3.2040000000000006,766.5342026921326,156.78785933732115,2050.5522189072194,40.43497157435604
0.166434,0.5039,0.445,3.1520000000000006,764.6192748546214,177.50706009256396,1031.21644212835,40.43497157435604
0.186414,0.5041,0.4358,3.1150000000000007,762.2252157492248,142.88587031998986,1732.7922809096146,56.73156302896223
0.206507,0.5037,0.436,3.1110000000000007,759.5553468520293,143.96484861121303,53.69921321968675,105.44325316275035
0.226487,0.5037,0.447,2.9940000000000007,764.0629214777368,185.1625087097391,2061.944949876179,399.04450905540216
0.246579,0.5034,0.4472,2.992000000000001,762.0810087804107,186.1590045195137,49.596645917510195,399.04450905540216
0.266559,0.5043,0.4599,2.9930000000000008,773.47681437438,232.98123339113567,2343.4548984795783,399.04450905540216
0.286652,0.5042,0.4602,2.9890000000000008,772.9117920279377,234.1872884207262,60.023641546335256,399.04450905540216
0.306632,0.5036,0.4534,2.9870000000000005,765.9975541510053,209.214538884876,1249.8873641566668,399.04450905540216
0.326725,0.5035,0.4533,2.9810000000000008,765.2686199999916,208.92249718361109,14.534499639919733,399.04450905540216
0.346704,0.502,0.4662,2.767000000000001,760.2354326993564,258.4733539754343,2480.146993934789,399.04450905540216
0.366796,0.5017,0.4663,2.761000000000001,758.2125420508878,259.09532560249454,30.95618291161893,399.04450905540216
0.386777,0.5014,0.4796,2.755000000000001,761.5987409532677,309.1544893477869,2505.3382586103025,399.04450905540216
0.40687,0.5011,0.4793,2.7430000000000008,759.4119385002282,308.278364243992,43.603498919770395,399.04450905540216
0.42685,0.5087,0.4258,3.819000000000001,789.7734058289861,101.63925790195299,10342.297614716666,399.04450905540216
0.446942,0.4894,0.4925,2.9210000000000007,684.3301526662358,367.36600669174413,13225.500138850844,399.04450905540216
0.466922,0.4449,0.5231,2.9750000000000005,390.728896773584,518.6751108469491,7573.028235996246,399.04450905540216
0.487014,0.4832,0.5992,2.7410000000000005,685.4003421436323,772.0972234972794,12613.085439494838,399.04450905540216
0.506994,0.4833,0.601,2.7170000000000005,686.8259014640735,778.7561763046806,333.28092129135194,399.04450905540216
0.527086,0.4825,0.6025,2.7130000000000005,681.9369211322519,785.03389889698,312.44886483671786,399.04450905540216
0.547068,0.4783,0.5967,2.7270000000000008,650.6660395714107,766.775760520429,913.7292751752083,399.04450905540216
0.567159,0.4808,0.5988,2.7210000000000005,668.7254815421707,772.5787063211976,288.8330994359972,399.04450905540216
0.587139,0.4813,0.599,2.7250000000000005,672.2472184438088,772.9153422793809,16.84864655571828,399.04450905540216
0.607232,0.4809,0.599,2.7380000000000004,669.4953936443267,773.2452722051764,16.420142626564857,399.04450905540216
0.627212,0.4787,0.5962,2.7410000000000005,653.2129746151791,764.5732096810636,434.0371633690085,399.04450905540216
0.647304,0.4806,0.5978,2.7440000000000007,666.939789631002,768.998429456957,220.2478486906884,399.04450905540216
0.667284,0.4725,0.5737,2.795000000000001,601.3396512160812,685.419182420274,4183.145497331482,399.04450905540216
0.687377,0.4546,0.6005,2.874000000000001,489.17758234554185,800.5560275669447,5730.196842018147,296.0970046904895
0.707356,0.4504,0.5912,2.8100000000000005,456.4724724947032,769.189542795408,1569.972709922259,296.0970046904895
0.727449,0.4515,0.5901,2.8040000000000007,463.5892332307071,764.1624694896175,250.1902804852686,284.9651744051066
0.74743,0.4427,0.5872,2.8000000000000007,401.86072705896686,760.5597265584186,180.30843957754433,284.9651744051066
0.767522,0.4478,0.582,2.803000000000001,434.8156397929338,736.8778625034029,1178.6713147031503,280.076194073285
0.787502,0.4494,0.5844,2.8090000000000006,446.806409818289,744.5467231853538,383.82686095850585,270.386491384842
0.807594,0.4503,0.5855,2.7920000000000007,453.4487730796927,747.9241468621665,168.09793334723614,270.386491384842
0.827574,0.4477,0.5737,2.7980000000000005,430.7265136482115,705.8748378196005,2104.5700221504476,270.386491384842
0.847667,0.4483,0.5751,2.7970000000000006,435.4279421634333,710.6232814889011,236.3232802120407,377.133168631618
0.867647,0.4489,0.5769,2.7940000000000005,440.29328248322645,716.8698218890574,312.6396596674871,377.133168631618
0.887739,0.449,0.575,2.7840000000000007,440.202657611384,709.671379936045,358.27403708005346,382.70143619375267
0.907719,0.4486,0.5738,2.779000000000001,436.95909739818853,705.5070196692741,208.42643977832356,399.67181142277104
0.927812,0.4488,0.5733,2.7770000000000006,438.13012004221537,703.4694337928074,101.40774779608186,399.67181142277104
0.947792,0.4452,0.5636,2.7740000000000005,409.38883558602856,670.1099574017217,1669.6434630173057,399.67181142277104
0.967884,0.4487,0.5689,2.769000000000001,435.6391339920624,687.0728522348452,844.2611404102892,399.67181142277104
0.987864,0.4487,0.5711,2.7200000000000006,436.5406489172037,695.3123842545508,412.3889899752563,404.9532333269067
1.007957,0.4497,0.5688,2.7640000000000007,442.4777180396236,685.8735032376428,469.7596683873979,397.425124799845
1.027937,0.4515,0.5735,2.7540000000000004,456.7868933410027,701.9914551591148,806.7043003739702,397.425124799845
1.048029,0.4594,0.5455,3.354000000000001,499.66160681078463,590.608567964767,5543.643599161252,397.425124799845
1.068009,0.4543,0.4375,2.7600000000000007,420.3196533831715,190.32905718767665,20034.00954840303,397.425124799845
1.088102,0.4988,0.5657,2.7930000000000006,778.9938956905848,633.7643551821036,22069.143382990533,397.425124799845
1.108082,0.498,0.5598,2.7820000000000005,771.072546974196,612.3272882535764,1072.9262726990532,397.425124799845
1.128174,0.4998,0.5625,2.7660000000000005,784.5621632527195,620.9547565207708,429.3981817237928,397.425124799845
1.148154,0.5021,0.5653,2.7500000000000004,801.5325384817379,629.5443365634349,429.90891104424725,397.425124799845
1.168248,0.5016,0.5666,2.7640000000000007,798.6254708472425,634.8255633459596,262.8260566599353,397.425124799845
1.188227,0.5013,0.5664,2.757000000000001,796.4796463453454,634.3239624248786,25.106407782223137,397.425124799845
1.208319,0.5009,0.5675,2.761000000000001,794.1785790084346,638.7736583605267,221.46605293888868,386.49430700270204
1.228299,0.5031,0.5614,2.9070000000000005,806.8139603858735,614.1130686231045,1234.263750621727,554.8898724611768
1.248392,0.5019,0.5555,3.0380000000000007,796.1407868700035,593.0059316203728,1050.4721546176143,554.8898724611768
1.268372,0.5013,0.5576,2.999000000000001,792.8735866447796,601.3658343460575,418.41354983406205,651.3463791322247
1.288464,0.5009,0.5577,2.980000000000001,790.1627397964403,602.0702884545667,35.061422880213684,651.3463791322247
1.308444,0.5004,0.5576,2.9710000000000005,786.6819808459454,602.1081766790976,1.8963075340785238,651.3463791322247
1.328537,0.4997,0.5577,2.9700000000000006,781.9072653979947,603.0600782319536,47.374784893049146,651.3463791322247
1.348517,0.4983,0.5614,2.867000000000001,773.7920627920921,618.0722277326515,751.3588338687674,651.3463791322247
1.368609,0.4987,0.5618,2.843000000000001,776.7077993961452,619.2403945377114,58.14089214910684,651.3463791322247
1.388589,0.4981,0.5613,2.8530000000000006,772.3751724412082,617.8626685128359,68.95525650027632,1045.880234911458
1.408681,0.4983,0.5576,2.9290000000000007,772.2349006486661,603.8403087895244,697.907611154261,1045.880234911458
1.428662,0.4971,0.5637,2.7850000000000006,766.4790812699312,627.6760737124573,1192.9215215921542,1045.880234911458
1.448754,0.5,0.5659,2.7840000000000007,787.3313259913157,633.5236137701445,291.0382270399753,1045.880234911458
1.468734,0.4233,0.547,2.7110000000000007,251.92408792469678,626.0026065085272,376.42678987074,1045.880234911458
