Dim_Timestamp_Start,Dim_Timestamp_End,Bright_Timestamp_Start,Bright_Timestamp_End,Target_ID,Target_X_Px,Target_Y_Px,Screen_Width,Screen_Height
1783382420.467523,1783382422.367485,1783382422.375797,1783382424.375882,7,641,782,1728,1117
1783382424.892572,1783382425.467579,1783382425.475461,1783382427.475764,5,864,558,1728,1117
1783382427.984275,1783382428.400863,1783382428.409261,1783382430.409218,9,1087,782,1728,1117
1783382430.925843,1783382431.192513,1783382431.200855,1783382433.200925,2,864,335,1728,1117
1783382433.717372,1783382433.967526,1783382433.975864,1783382435.975963,1,641,335,1728,1117
1783382436.492629,1783382436.975906,1783382436.983865,1783382438.984236,3,1087,335,1728,1117
1783382439.500928,1783382439.784130,1783382439.792415,1783382441.792478,6,1087,558,1728,1117
1783382442.300885,1783382442.509311,1783382442.517595,1783382444.517668,4,641,558,1728,1117
1783382445.034256,1783382445.367544,1783382445.375968,1783382447.375994,8,864,782,1728,1117
