Dim_Timestamp_Start,Dim_Timestamp_End,Bright_Timestamp_Start,Bright_Timestamp_End,Target_ID,Target_X_Px,Target_Y_Px,Screen_Width,Screen_Height
1783382206.600839,1783382208.359304,1783382208.367575,1783382210.367645,2,864,335,1728,1117
1783382210.884303,1783382212.325984,1783382212.334331,1783382214.334268,8,864,782,1728,1117
1783382214.850917,1783382215.892584,1783382215.901050,1783382217.900954,4,641,558,1728,1117
1783382218.417657,1783382219.509396,1783382219.517568,1783382221.517658,5,864,558,1728,1117
1783382222.025963,1783382222.676061,1783382222.684376,1783382224.684198,6,1087,558,1728,1117
1783382225.201077,1783382225.900980,1783382225.909287,1783382227.909391,1,641,335,1728,1117
1783382228.425869,1783382229.092631,1783382229.101015,1783382231.100853,7,641,782,1728,1117
1783382231.609396,1783382232.017704,1783382232.026056,1783382234.026086,9,1087,782,1728,1117
1783382234.542666,1783382235.142717,1783382235.151037,1783382237.151052,3,1087,335,1728,1117
