Dim_Timestamp_Start,Dim_Timestamp_End,Bright_Timestamp_Start,Bright_Timestamp_End,Target_ID,Target_X_Px,Target_Y_Px,Screen_Width,Screen_Height
1783382276.221768,1783382277.138451,1783382277.146623,1783382279.146734,5,864,558,1728,1117
1783382279.663216,1783382281.805126,1783382281.813351,1783382283.813295,6,1087,558,1728,1117
1783382284.321799,1783382284.963419,1783382284.971823,1783382286.971754,8,864,782,1728,1117
1783382287.488379,1783382288.180143,1783382288.188486,1783382290.188303,2,864,335,1728,1117
1783382290.696795,1783382291.205032,1783382291.213396,1783382293.213474,7,641,782,1728,1117
1783382293.730071,1783382294.113305,1783382294.121616,1783382296.121778,3,1087,335,1728,1117
1783382296.638564,1783382297.130131,1783382297.138520,1783382299.138476,4,641,558,1728,1117
1783382299.655196,1783382300.080112,1783382300.088570,1783382302.088550,9,1087,782,1728,1117
1783382302.605191,1783382303.096738,1783382303.105189,1783382305.105006,1,641,335,1728,1117
