timestamp,gaze2d_x,gaze2d_y,pupildiameter
0.026124,0.504800,0.407900,3.646000000000001
0.046217,0.504000,0.444800,3.1910000000000007
0.066197,0.500400,0.426700,3.0380000000000007
0.086290,0.500200,0.438300,3.005000000000001
0.106270,0.501700,0.443800,3.0350000000000006
0.126363,0.501600,0.449900,2.9950000000000006
0.146342,0.504500,0.439600,3.2040000000000006
0.166434,0.503900,0.445000,3.1520000000000006
0.186414,0.504100,0.435800,3.1150000000000007
0.206507,0.503700,0.436000,3.1110000000000007
0.226487,0.503700,0.447000,2.9940000000000007
0.246579,0.503400,0.447200,2.992000000000001
0.266559,0.504300,0.459900,2.9930000000000008
0.286652,0.504200,0.460200,2.9890000000000008
0.306632,0.503600,0.453400,2.9870000000000005
0.326725,0.503500,0.453300,2.9810000000000008
0.346704,0.502000,0.466200,2.767000000000001
0.366796,0.501700,0.466300,2.7610000000000006
0.386777,0.501400,0.479600,2.755000000000001
0.406870,0.501100,0.479300,2.7430000000000008
0.426850,0.508700,0.425800,3.819000000000001
0.446942,0.489400,0.492500,2.9210000000000007
0.466922,0.444900,0.523100,2.9750000000000005
0.487014,0.483200,0.599200,2.7410000000000005
0.506994,0.483300,0.601000,2.7170000000000005
0.527086,0.482500,0.602500,2.7130000000000005
0.547068,0.478300,0.596700,2.7270000000000008
0.567159,0.480800,0.598800,2.7210000000000005
0.587139,0.481300,0.599000,2.7250000000000005
0.607232,0.480900,0.599000,2.7380000000000004
0.627212,0.478700,0.596200,2.7410000000000005
0.647304,0.480600,0.597800,2.7440000000000007
0.667284,0.472500,0.573700,2.795000000000001
0.687377,0.454600,0.600500,2.8740000000000006
0.707356,0.450400,0.591200,2.8100000000000005
0.727449,0.451500,0.590100,2.8040000000000007
0.747430,0.442700,0.587200,2.8000000000000007
0.767522,0.447800,0.582000,2.803000000000001
0.787502,0.449400,0.584400,2.8090000000000006
0.807594,0.450300,0.585500,2.7920000000000007
0.827574,0.447700,0.573700,2.7980000000000005
0.847667,0.448300,0.575100,2.7970000000000006
0.867647,0.448900,0.576900,2.7940000000000005
0.887739,0.449000,0.575000,2.7840000000000007
0.907719,0.448600,0.573800,2.779000000000001
0.927812,0.448800,0.573300,2.7770000000000006
0.947792,0.445200,0.563600,2.7740000000000005
0.967884,0.448700,0.568900,2.7690000000000006
0.987864,0.448700,0.571100,2.7200000000000006
1.007957,0.449700,0.568800,2.7640000000000007
1.027937,0.451500,0.573500,2.7540000000000004
1.048029,0.459400,0.545500,3.354000000000001
1.068009,0.454300,0.437500,2.7600000000000007
1.088102,0.498800,0.565700,2.7930000000000006
1.108082,0.498000,0.559800,2.7820000000000005
1.128174,0.499800,0.562500,2.7660000000000005
1.148154,0.502100,0.565300,2.7500000000000004
1.168248,0.501600,0.566600,2.7640000000000007
1.188227,0.501300,0.566400,2.7570000000000006
1.208319,0.500900,0.567500,2.7610000000000006
1.228299,0.503100,0.561400,2.9070000000000005
1.248392,0.501900,0.555500,3.0380000000000007
1.268372,0.501300,0.557600,2.9990000000000006
1.288464,0.500900,0.557700,2.980000000000001
1.308444,0.500400,0.557600,2.9710000000000005
1.328537,0.499700,0.557700,2.9700000000000006
1.348517,0.498300,0.561400,2.867000000000001
1.368609,0.498700,0.561800,2.843000000000001
1.388589,0.498100,0.561300,2.8530000000000006
1.408681,0.498300,0.557600,2.9290000000000007
1.428662,0.497100,0.563700,2.7850000000000006
1.448754,0.500000,0.565900,2.7840000000000007
1.468734,0.423300,0.547000,2.7110000000000007
1.488827,0.449900,0.585200,2.682000000000001
1.508807,0.410000,0.534900,2.6950000000000007
1.528900,0.430400,0.562300,2.682000000000001
1.548879,0.434300,0.566900,2.6790000000000007
1.568972,0.441400,0.575800,2.714000000000001
1.588952,0.434300,0.571600,2.6850000000000005
1.609044,0.443400,0.584300,2.6770000000000005
1.629024,0.359400,0.421600,4.171000000000001
1.649117,0.399000,0.568000,2.8050000000000006
1.669097,0.379800,0.506100,3.0590000000000006
1.689190,0.401500,0.550100,3.0340000000000007
1.709169,0.379100,0.508100,3.2400000000000007
1.729263,0.405300,0.553500,3.267000000000001
1.749241,0.373300,0.515400,2.7430000000000008
1.769334,0.401100,0.551800,3.0990000000000006
1.789314,0.385500,0.514100,3.190000000000001
1.809407,0.403800,0.574800,2.815000000000001
1.829387,0.396900,0.545400,3.0350000000000006
1.849479,0.398100,0.546900,3.0470000000000006
1.869459,0.388600,0.555300,3.875000000000001
1.889552,0.380200,0.537000,4.090000000000001
1.909532,0.383600,0.516600,4.298000000000001
1.929625,0.404800,0.547600,2.9810000000000008
1.949604,0.385100,0.518700,2.6120000000000005
1.969697,0.391700,0.532600,4.148000000000001
1.989676,0.447700,0.560200,2.1730000000000005
2.009769,0.450800,0.568000,2.1620000000000004
2.029749,0.379700,0.532900,4.395000000000001
2.049842,0.389100,0.547300,4.192000000000001
2.069821,0.411100,0.557300,2.6410000000000005
2.089914,0.413600,0.561200,2.6360000000000006
2.109895,0.410600,0.565200,2.6450000000000005
2.129987,0.414900,0.555300,2.8850000000000007
2.149966,0.370300,0.542900,4.244000000000001
2.170059,0.418700,0.567800,2.8810000000000007
2.190039,0.420300,0.576100,2.9190000000000005
2.210132,0.410000,0.594500,3.547000000000001
2.230112,0.401900,0.572500,3.742000000000001
2.250204,0.435200,0.557500,3.644000000000001
2.270184,0.439300,0.530800,2.7160000000000006
2.290277,0.486200,0.559900,2.767000000000001
2.310257,0.481000,0.562100,2.7350000000000008
2.330349,0.486100,0.559300,2.7310000000000008
2.350329,0.469500,0.486600,2.7480000000000007
2.370423,0.483400,0.537300,2.7280000000000006
2.390401,0.480900,0.540600,2.7400000000000007
