timestamp,gaze2d_x,gaze2d_y,pupildiameter
0.018298,0.490800,0.506200,3.5990000000000006
0.038278,0.493100,0.522100,3.0830000000000006
0.058371,0.494100,0.519300,3.0110000000000006
0.078351,0.494600,0.518200,2.9790000000000005
0.098444,0.492900,0.505500,3.229000000000001
0.118423,0.496600,0.498600,3.3770000000000007
0.138516,0.496300,0.500200,3.3250000000000006
0.158496,0.496600,0.501600,3.266000000000001
0.178589,0.496800,0.503600,3.2160000000000006
0.198568,0.496500,0.502500,3.1960000000000006
0.218661,0.496500,0.504100,3.1180000000000008
0.238641,0.497100,0.502600,3.0900000000000007
0.258734,0.497100,0.502000,3.0800000000000005
0.298806,0.491900,0.633500,2.7170000000000005
0.318785,0.490900,0.640900,2.714000000000001
0.338878,0.490000,0.645700,2.7160000000000006
0.358858,0.475400,0.628200,2.7240000000000006
0.378950,0.483400,0.637600,2.7250000000000005
0.398931,0.483400,0.639600,2.7190000000000007
0.419023,0.484600,0.640100,2.7250000000000005
0.439003,0.484800,0.641900,2.7130000000000005
0.459096,0.485700,0.642700,2.714000000000001
0.479075,0.486600,0.644900,2.7110000000000007
0.499168,0.488200,0.646900,2.7160000000000006
0.519148,0.489600,0.645600,2.7130000000000005
0.539241,0.491400,0.649600,2.714000000000001
0.559221,0.432800,0.557900,2.6750000000000007
0.579313,0.438500,0.619900,2.7600000000000007
0.599293,0.441600,0.615800,2.8080000000000007
0.619386,0.441600,0.619500,2.7430000000000008
0.639365,0.441800,0.617300,2.7620000000000005
0.659458,0.442900,0.616500,2.7740000000000005
0.679438,0.444100,0.616100,2.7780000000000005
0.699531,0.444400,0.615600,2.7780000000000005
0.719510,0.444300,0.615900,2.7840000000000007
0.739603,0.444000,0.616100,2.7940000000000005
0.759583,0.436900,0.605500,2.803000000000001
0.779676,0.440400,0.609500,2.8140000000000005
0.799655,0.443600,0.605500,2.8220000000000005
0.819748,0.442900,0.605400,2.8900000000000006
0.839728,0.434100,0.590200,2.8860000000000006
0.859820,0.439100,0.600600,2.863000000000001
0.879800,0.377900,0.439800,4.702000000000001
0.899893,0.402200,0.585400,3.829000000000001
0.919873,0.428000,0.640700,3.1550000000000007
0.959945,0.402900,0.589000,3.806000000000001
0.980038,0.412700,0.608500,3.5540000000000007
1.000018,0.348500,0.707400,2.1780000000000004
1.020111,0.356200,0.693300,3.2320000000000007
1.040091,0.361300,0.700900,3.141000000000001
1.060183,0.360800,0.706000,2.0730000000000004
1.080163,0.336300,0.666900,2.0630000000000006
1.100256,0.439800,0.684400,2.0960000000000005
1.120235,0.347900,0.709500,3.064000000000001
1.140329,0.356700,0.707200,3.0300000000000007
1.160307,0.336400,0.662200,3.5100000000000007
1.180402,0.342100,0.676300,3.371000000000001
1.200380,0.341100,0.682900,3.310000000000001
1.220473,0.338100,0.678200,2.0820000000000003
1.260545,0.416300,0.609900,3.903000000000001
1.280525,0.409300,0.661600,3.1590000000000007
1.300618,0.413700,0.645700,3.3330000000000006
1.320598,0.413000,0.655900,3.1670000000000007
1.340690,0.414300,0.662900,3.0670000000000006
1.360671,0.415000,0.669200,3.013000000000001
1.380763,0.417300,0.660800,3.1710000000000007
1.400743,0.418200,0.664100,3.1200000000000006
1.420837,0.417900,0.667100,3.0820000000000007
1.440815,0.436200,0.613900,3.048000000000001
1.460908,0.435400,0.615000,3.0430000000000006
1.480888,0.422700,0.572400,3.496000000000001
1.500980,0.408700,0.589200,3.210000000000001
1.520960,0.409200,0.604000,3.040000000000001
1.541053,0.409200,0.604300,3.146000000000001
1.561033,0.424500,0.610100,3.121000000000001
1.581126,0.424700,0.615400,3.0180000000000007
1.601105,0.443900,0.631600,2.7460000000000004
1.621198,0.602900,0.514800,5.552000000000001
1.661270,0.466100,0.848500,1.8670000000000004
1.681250,0.527800,0.787300,4.596000000000001
1.701343,0.556400,0.765100,5.274000000000001
1.721322,0.570200,0.826600,3.7350000000000008
1.741415,0.567600,0.827600,3.5500000000000007
1.761395,0.563400,0.779500,3.887000000000001
1.781488,0.469500,0.755200,5.724000000000001
1.801467,0.547100,0.781800,3.5100000000000007
1.821560,0.537700,0.813800,3.2650000000000006
1.841540,0.549600,0.768800,4.506000000000001
1.861633,0.554000,0.780100,4.318000000000001
1.881613,0.553000,0.763700,4.447000000000001
1.901705,0.580000,0.825600,3.527000000000001
1.921685,0.584900,0.738200,4.676000000000001
1.941777,0.583000,0.806500,3.878000000000001
1.961757,0.585100,0.807400,3.917000000000001
1.981850,0.576600,0.910800,2.5590000000000006
2.001830,0.575900,0.860100,3.605000000000001
2.021922,0.578700,0.866300,3.4930000000000008
2.041903,0.595800,0.843100,3.194000000000001
